Project Codes,Issue key,Summary,Status,Resolution,Created,Component/s,Component/s,Component/s
670,WMP-10492,Cannot start and finish OTA,Triage,,4/25/2025 17:16,,,
670,ESW-92932,System component may power off unexpectedly,Triage,,5/26/2025 14:17,,,
670,ESW-92199,Calibration values do not update in response to power data,Closed,Fixed,5/14/2025 11:05,DD,,
670,ESW-90292,Accessory connection during operation does not update feedback screen,Closed,Fixed,3/19/2025 10:06,SC,,
670,ESW-90290,User interface shows charging status after inactivity timeout,Closed,Fixed,3/18/2025 16:39,UI,,
670,ESW-90052,Tool cannot disconnect from communication port after waking from sleep via power button,Closed,Fixed,3/10/2025 15:43,,,
670,ESW-79913,Mobile application fails to reconnect to device after low power mode,Closed,Fixed,3/5/2025 17:18,UI,,
670,ESW-79490,Incorrect battery identification shown in settings during trial use,Closed,Fixed,3/3/2025 21:08,UI,,
670,ESW-79049,Firmware cannot access security keys after they are locked,Closed,Fixed,2/24/2025 10:12,UI,,
670,ESW-79799,System tool crashes after several repeated power button presses,Closed,Fixed,2/18/2025 13:20,,,
670,ESW-79760,Wireless update status displays undefined after connection sequence in some configurations,Closed,Fixed,2/17/2025 10:26,UI,,
670,ESW-79595,First input does not change mode if previous wireless pairing during standby failed,Closed,Fixed,2/12/2025 17:05,,,
670,ESW-79461,Diagnostic settings routing malfunctioning in system tool,Closed,Fixed,2/7/2025 21:56,SC,UI,
670,ESW-79290,User input does not reactivate display after inactivity if a system error is present,Closed,Fixed,2/4/2025 17:28,UI,,
670,ESW-79145,System stops advertising connectivity after idle period from reset,Closed,Fixed,1/29/2025 16:29,UI,,
670,ESW-79099,Specific user interface leads to installation failure,Closed,Fixed,1/27/2025 18:28,UI,,
670,ESW-79095,System does not wake up from user input after inactivity if error occurred during setup,Closed,Fixed,1/27/2025 16:26,UI,,
670,ESW-79092,Display remains on when error occurs at setup and alert is triggered,Closed,Fixed,1/27/2025 15:53,UI,,
670,ESW-79021,Display fails to reactivate after periodic wake and accessory event,Closed,Fixed,1/27/2025 9:56,UI,,
670,ESW-77961,Charging status briefly appears before showing successful installation confirmation,Closed,Fixed,1/24/2025 16:52,UI,,
670,ESW-77999,Heartbeat signal is not set up in main controller routing,Closed,Fixed,1/23/2025 17:35,SC,,
670,ESW-77997,Pressing mode button during error alert on QR screen does not repeat alert,Closed,Fixed,1/22/2025 17:06,UI,,
670,ESW-77931,Long press of mode button is not detected during introductory mode selection,Closed,Fixed,1/22/2025 12:08,UI,,
670,ESW-77911,Files with integrity errors are still accepted for update,Closed,Fixed,1/20/2025 22:10,UI,,
670,ESW-77902,Timer does not restart when mode button is held during specific cleaning mode,Closed,Fixed,1/20/2025 16:35,UI,,
670,ESW-77736,Tool emulator causes control module to become unresponsive,Closed,Fixed,1/20/2025 14:24,BB,,
670,ESW-77660,Error is triggered when connecting accessory to evaluation hardware,Closed,Fixed,1/17/2025 13:25,BB,SC,
670,ESW-77439,Unable to load default software image using programming hardware,Closed,Fixed,1/15/2025 11:31,SC,UI,
670,ESW-77412,Secure system controller forces update to module using non-secure software,Closed,Fixed,1/8/2025 18:46,BB,DD,
670,ESW-77201,Device freezes and reboots during over-the-counter update,Closed,Fixed,1/7/2025 23:44,SC,,
670,ESW-77194,System software does not revert to previous version after restart,Closed,Fixed,12/24/2024 0:17,UI,,
670,ESW-77151,Wake event completions are not recorded in system logs,Closed,Fixed,12/20/2024 19:49,SC,UI,
670,ESW-76999,Software update process fails for standalone factory configurations,Closed,Fixed,12/19/2024 1:06,UI,Component ART,Platinum
572,ESW-76604,User interface times out during software update progress display,Closed,Fixed,12/12/2024 23:06,UI,,
572,ESW-76571,Accessory removal during cleaning does not stop operation or update interface,Closed,Fixed,12/11/2024 9:56,UI,,
572,ESW-76209,Animation continues if accessory is removed while system components are misaligned,Closed,Fixed,12/10/2024 17:57,SC,,
572,ESW-76192,Specific buffer function may process more data than intended,Closed,Fixed,12/5/2024 21:14,UI,Component ART,
572,ESW-76124,User interface display fails to turn on,Closed,Fixed,12/5/2024 16:28,UI,,
572,ESW-76071,Undo operating system task changes that disrupt module operations,Closed,Fixed,12/4/2024 17:43,BB,DD,
572,ESW-76034,Outdated or incorrect quick response code shown for required updates,Closed,Fixed,12/3/2024 16:22,UI,FC_COMMON_BUG,
572,ESW-75969,Unable to load base software image using programming tool,Closed,Fixed,12/3/2024 9:46,SC,UI,
